       time          cgrain          somtc           rain       
    1897.33         24.9876       2144.7170          1.1000
    1897.42         24.9876       2134.7180          5.2000
    1897.50         24.9876       2126.7260          5.1000
    1897.58         24.9876       2109.4100         16.0000
    1897.67         22.5787       2124.3080          8.9000
    1897.75         22.5787       2104.6250          8.4000
    1897.83         22.5787       2096.0610          4.1000
    1897.92         22.5787       2094.2480          3.9000
    1898.00         22.5787       2093.1870          1.8000
    1898.08         22.5787       2092.2830          2.8000
    1898.17         22.5787       2091.4530          2.4000
    1898.25         22.5787       2090.5510          1.4000
    1898.33         22.5787       2112.9550          1.4000
    1898.42         22.5787       2103.1770          8.2000
    1898.50         22.5787       2096.0230          4.9000
    1898.58         22.5787       2085.8950         11.3000
    1898.67         20.0259       2111.0830           .9000
    1898.75         20.0259       2103.2740          5.8000
    1898.83         20.0259       2095.5190          3.9000
    1898.92         20.0259       2093.0260          4.2000
    1899.00         20.0259       2091.6120          3.4000
    1899.08         20.0259       2090.4440          2.3000
    1899.17         20.0259       2089.4030           .4000
    1899.25         20.0259       2088.4160          3.6000
    1899.33         20.0259       2103.0190          6.1000
    1899.42         20.0259       2092.4140          3.3000
    1899.50         20.0259       2080.0680         12.3000
    1899.58         20.0259       2065.7430         10.3000
    1899.67         23.7909       2082.0310          5.8000
    1899.75         23.7909       2070.2640          5.5000
    1899.83         23.7909       2061.7040          8.8000
    1899.92         23.7909       2059.6920          3.9000
    1900.00         23.7909       2058.5190           .6000
    1900.08         23.7909       2057.5600          1.8000
    1900.17         23.7909       2056.3260          3.5000
    1900.25         23.7909       2054.3860           .5000
    1900.33         23.7909       2071.1380          2.3000
    1900.42         23.7909       2058.9130         10.5000
    1900.50         23.7909       2047.2980         17.3000
    1900.58         23.7909       2034.1720          7.2000
    1900.67         25.0880       2065.4590          4.1000
    1900.75         25.0880       2059.8860          1.7000
    1900.83         25.0880       2047.9800         14.5000
    1900.92         25.0880       2044.8320          5.5000
    1901.00         25.0880       2043.3280          1.7000
    1901.08         25.0880       2042.0840          2.9000
    1901.17         25.0880       2040.9700           .9000
    1901.25         25.0880       2039.1670          3.3000
    1901.33         25.0880       2051.0010          4.4000
    1901.42         25.0880       2037.2260         10.2000
    1901.50         25.0880       2027.0170          7.2000
    1901.58         25.0880       2013.0590         10.1000
    1901.67         25.7146       2024.7730         10.0000
    1901.75         25.7146       2004.4970         12.3000
    1901.83         25.7146       2000.0810           .5000
    1901.92         25.7146       1998.8980           .0000
    1902.00         25.7146       1998.3280           .7000
    1902.08         25.7146       1998.2430           .2000
    1902.17         25.7146       1997.7850          2.9000
    1902.25         25.7146       1995.7770          1.7000
    1902.33         25.7146       2022.0270          2.9000
    1902.42         25.7146       2018.0650          3.0000
    1902.50         25.7146       2004.1080         13.5000
    1902.58         25.7146       1990.5190          8.0000
    1902.67         16.7347       2000.6210          7.1000
    1902.75         16.7347       1985.2770          5.9000
    1902.83         16.7347       1977.9900          7.2000
    1902.92         16.7347       1974.9870          9.8000
    1903.00         16.7347       1973.9910          1.9000
    1903.08         16.7347       1973.1880           .2000
    1903.17         16.7347       1972.4640          1.1000
    1903.25         16.7347       1971.4850           .2000
    1903.33         16.7347       1993.6870          4.6000
    1903.42         16.7347       1980.7730          7.3000
    1903.50         16.7347       1972.8290          4.1000
    1903.58         16.7347       1962.9350         15.0000
    1903.67         22.4370       1973.6350         11.7000
    1903.75         22.4370       1956.8540          6.0000
    1903.83         22.4370       1951.0070          4.5000
    1903.92         22.4370       1948.0610           .9000
    1904.00         22.4370       1947.0620           .9000
    1904.08         22.4370       1946.4460           .1000
    1904.17         22.4370       1945.9820           .1000
    1904.25         22.4370       1945.3920          1.4000
    1904.33         22.4370       1972.6860          2.5000
    1904.42         22.4370       1966.9260          5.1000
    1904.50         22.4370       1950.8030         18.4000
    1904.58         22.4370       1937.5650         11.6000
    1904.67         23.2546       1946.0570         19.8000
    1904.75         23.2546       1927.2620          4.1000
    1904.83         23.2546       1922.4150          3.1000
    1904.92         23.2546       1920.8940           .2000
    1905.00         23.2546       1920.3410          1.1000
    1905.08         23.2546       1919.6430           .6000
    1905.17         23.2546       1919.0110          1.3000
    1905.25         23.2546       1917.5200          1.3000
    1905.33         23.2546       1942.6570          2.4000
    1905.42         23.2546       1928.4290          9.0000
    1905.50         23.2546       1915.5970         12.8000
    1905.58         23.2546       1904.0400          6.1000
    1905.67         30.6539       1945.3990          2.2000
    1905.75         30.6539       1927.4540          7.3000
    1905.83         30.6539       1918.0900          3.4000
    1905.92         30.6539       1916.1680          1.2000
    1906.00         30.6539       1914.9950          1.7000
    1906.08         30.6539       1914.0250          1.7000
    1906.17         30.6539       1913.1690           .5000
    1906.25         30.6539       1911.7460          3.0000
    1906.33         30.6539       1929.4450           .9000
    1906.42         30.6539       1919.6320         15.1000
    1906.50         30.6539       1910.6530          3.8000
    1906.58         30.6539       1898.3780          9.4000
    1906.67         20.4366       1910.9970          9.0000
    1906.75         20.4366       1890.6320          9.7000
    1906.83         20.4366       1884.2380          8.0000
    1906.92         20.4366       1881.6280           .3000
    1907.00         20.4366       1880.7850          1.2000
    1907.08         20.4366       1880.1220          3.1000
    1907.17         20.4366       1879.5220           .5000
    1907.25         20.4366       1878.4720           .5000
    1907.33         20.4366       1901.4340          1.4000
    1907.42         20.4366       1888.8300          7.9000
    1907.50         20.4366       1875.2630         12.7000
    1907.58         20.4366       1869.8190          2.5000
    1907.67         21.9767       1888.1470         14.7000
    1907.75         21.9767       1867.8280          6.6000
    1907.83         21.9767       1860.0340          5.5000
    1907.92         21.9767       1857.5330          4.4000
    1908.00         21.9767       1856.6470          2.0000
    1908.08         21.9767       1855.9420          1.0000
    1908.17         21.9767       1855.3090          1.4000
    1908.25         21.9767       1854.4380          4.8000
    1908.33         21.9767       1871.2480          2.5000
    1908.42         21.9767       1861.1760          5.7000
    1908.50         21.9767       1859.3020          2.5000
    1908.58         21.9767       1857.8940          2.0000
    1908.67         12.6391       1865.7090          8.4000
    1908.75         12.6391       1851.5050          5.9000
    1908.83         12.6391       1845.6710          4.2000
    1908.92         12.6391       1843.7860          1.0000
    1909.00         12.6391       1842.9610          3.4000
    1909.08         12.6391       1842.2480           .5000
    1909.17         12.6391       1841.6350          1.5000
    1909.25         12.6391       1840.2320          3.8000
    1909.33         12.6391       1858.7600          3.8000
    1909.42         12.6391       1847.4840          9.6000
    1909.50         12.6391       1832.8590         13.7000
    1909.58         12.6391       1827.8070          4.4000
    1909.67         22.2946       1858.0070          4.3000
    1909.75         22.2946       1841.5990          5.6000
    1909.83         22.2946       1833.5390          8.4000
    1909.92         22.2946       1830.9300           .7000
    1910.00         22.2946       1829.9170          2.8000
    1910.08         22.2946       1829.1020           .2000
    1910.17         22.2946       1828.3730          1.2000
    1910.25         22.2946       1827.3520           .6000
    1910.33         22.2946       1843.0680          2.3000
    1910.42         22.2946       1840.8870          1.9000
    1910.50         22.2946       1829.3070         10.2000
    1910.58         22.2946       1823.7350          6.4000
    1910.67         15.1566       1830.2230          8.5000
    1910.75         15.1566       1811.2050         16.3000
    1910.83         15.1566       1804.3400         10.1000
    1910.92         15.1566       1802.1330          5.7000
    1911.00         15.1566       1801.3640          3.6000
    1911.08         15.1566       1800.7400           .7000
    1911.17         15.1566       1800.1810          2.7000
    1911.25         15.1566       1799.4780          6.7000
    1911.33         15.1566       1818.6470          3.0000
    1911.42         15.1566       1809.3890          6.3000
    1911.50         15.1566       1801.9110          7.9000
    1911.58         15.1566       1795.7010          4.6000
    1911.67         19.2792       1809.8090          8.4000
    1911.75         19.2792       1795.2790          6.2000
    1911.83         19.2792       1788.5640          8.2000
    1911.92         19.2792       1785.9620           .6000
    1912.00         19.2792       1785.1510          3.5000
    1912.08         19.2792       1784.4970          3.7000
    1912.17         19.2792       1783.9030          1.6000
    1912.25         19.2792       1782.7550          3.3000
    1912.33         19.2792       1803.6280          2.1000
    1912.42         19.2792       1789.3170         12.9000
    1912.50         19.2792       1775.1930          9.3000
    1912.58         19.2792       1768.6340          6.3000
    1912.67         24.2862       1785.8890          8.7000
    1912.75         24.2862       1767.9000         15.0000
    1912.83         24.2862       1761.5690          6.6000
    1912.92         24.2862       1759.1830          2.5000
    1913.00         24.2862       1758.4080          1.5000
    1913.08         24.2862       1757.7930          2.5000
    1913.17         24.2862       1757.2400           .3000
    1913.25         24.2862       1756.4510          1.8000
    1913.33         24.2862       1776.3730          6.1000
    1913.42         24.2862       1766.5240          7.5000
    1913.50         24.2862       1755.8790          8.7000
    1913.58         24.2862       1745.0350          8.1000
    1913.67         23.5517       1761.7460          7.1000
    1913.75         23.5517       1747.8910          4.7000
    1913.83         23.5517       1743.6600          2.0000
    1913.92         23.5517       1743.0010           .1000
    1914.00         23.5517       1742.9070          1.0000
    1914.08         23.5517       1742.7260           .7000
    1914.17         23.5517       1742.5990          1.0000
    1914.25         23.5517       1740.8460          5.6000
    1914.33         23.5517       1763.2510          3.0000
    1914.42         23.5517       1757.9780          3.5000
    1914.50         23.5517       1749.6660          6.2000
    1914.58         23.5517       1743.7440          5.8000
    1914.67         11.0707       1758.6480          4.9000
    1914.75         11.0707       1756.1960           .4000
    1914.83         11.0707       1750.4050          7.7000
    1914.92         11.0707       1747.7660          1.8000
    1915.00         11.0707       1746.5630           .8000
    1915.08         11.0707       1745.6270          1.4000
    1915.17         11.0707       1744.8120          2.3000
    1915.25         11.0707       1744.0630          2.5000
    1915.33         11.0707       1753.7360          2.0000
    1915.42         11.0707       1744.2280         11.8000
    1915.50         11.0707       1733.3670          8.1000
    1915.58         11.0707       1732.0450          2.6000
    1915.67         14.1710       1754.8950          2.7000
    1915.75         14.1710       1744.9640          6.9000
    1915.83         14.1710       1735.5070          5.9000
    1915.92         14.1710       1733.4370           .9000
    1916.00         14.1710       1732.4610          2.2000
    1916.08         14.1710       1731.6220          2.3000
    1916.17         14.1710       1730.8700           .8000
    1916.25         14.1710       1730.0000           .4000
    1916.33         14.1710       1736.9690          7.6000
    1916.42         14.1710       1728.8430          6.0000
    1916.50         14.1710       1714.6690         18.3000
    1916.58         14.1710       1707.0670          6.3000
    1916.67         18.6246       1725.2790          4.9000
    1916.75         18.6246       1709.6510          4.9000
    1916.83         18.6246       1704.8680          2.0000
    1916.92         18.6246       1704.1000           .6000
    1917.00         18.6246       1703.7050           .4000
    1917.08         18.6246       1703.3300          1.2000
    1917.17         18.6246       1703.0990           .6000
    1917.25         18.6246       1702.5000           .5000
    1917.33         18.6246       1722.8800          1.1000
    1917.42         18.6246       1713.6540          8.3000
    1917.50         18.6246       1700.2310         10.1000
    1917.58         18.6246       1687.9080         12.8000
    1917.67         20.5648       1705.7970          3.5000
    1917.75         20.5648       1700.7780          1.2000
    1917.83         20.5648       1697.3810          4.6000
    1917.92         20.5648       1693.8680          4.2000
    1918.00         20.5648       1692.7170          2.8000
    1918.08         20.5648       1691.8800          2.4000
    1918.17         20.5648       1691.1550          1.4000
    1918.25         20.5648       1690.3540          1.5000
    1918.33         20.5648       1704.0630           .0000
    1918.42         20.5648       1701.8720           .7000
    1918.50         20.5648       1697.6330          4.5000
    1918.58         20.5648       1694.4820          4.0000
    1918.67          5.5320       1689.2150         14.9000
    1918.75          5.5320       1676.2010          4.7000
    1918.83          5.5320       1671.1840          3.6000
    1918.92          5.5320       1669.2800          1.8000
    1919.00          5.5320       1668.8770           .3000
    1919.08          5.5320       1668.5050           .5000
    1919.17          5.5320       1667.7710          1.4000
    1919.25          5.5320       1666.5580          1.4000
    1919.33          5.5320       1690.3640          3.5000
    1919.42          5.5320       1680.5220          6.5000
    1919.50          5.5320       1665.0780         16.2000
    1919.58          5.5320       1655.6290         10.5000
    1919.67         19.0794       1664.8290          9.0000
    1919.75         19.0794       1651.4190          9.4000
    1919.83         19.0794       1645.9220          7.7000
    1919.92         19.0794       1643.6970          1.5000
    1920.00         19.0794       1643.0540           .7000
    1920.08         19.0794       1642.5700          2.8000
    1920.17         19.0794       1642.1390           .4000
    1920.25         19.0794       1641.3500          2.6000
    1920.33         19.0794       1662.8410          2.2000
    1920.42         19.0794       1651.5280          8.0000
    1920.50         19.0794       1646.4260          6.7000
    1920.58         19.0794       1639.4170         10.9000
    1920.67         17.6478       1666.7640          2.2000
    1920.75         17.6478       1658.0950          4.5000
    1920.83         17.6478       1650.2700         13.7000
    1920.92         17.6478       1648.2730          2.0000
    1921.00         17.6478       1647.4530          1.4000
    1921.08         17.6478       1646.8240           .7000
    1921.17         17.6478       1646.2160          1.2000
    1921.25         17.6478       1644.7960          4.7000
    1921.33         17.6478       1670.3370           .7000
    1921.42         17.6478       1661.1880          5.8000
    1921.50         17.6478       1649.9650         13.6000
    1921.58         17.6478       1644.0240          6.1000
    1921.67         17.0859       1653.5270         12.6000
    1921.75         17.0859       1638.5450          6.0000
    1921.83         17.0859       1632.7160          4.8000
    1921.92         17.0859       1630.7160          2.9000
    1922.00         17.0859       1630.0120          1.2000
    1922.08         17.0859       1629.4500          1.0000
    1922.17         17.0859       1628.8670          2.1000
    1922.25         17.0859       1627.9890           .8000
